Aurora,2747,684,709,2710
Beadle,19149,5361,1260,17398
Bennett,3381,1125,1181,3431
Bon Homme,7003,1379,560,7070
Brookings,34375,7287,800,31965
Brown,38301,9115,1674,36531
Brule,5247,1400,818,5255
Buffalo,1948,726,482,1912
Butte,10243,2570,2250,10110
Campbell,1377,235,732,1466
Charles Mix,9393,2864,1097,9129
Clark,3837,1112,964,3691
Clay,14967,2679,405,13864
Codington,28325,6713,687,27227
Corson,3902,1439,2470,4050
Custer,8318,1214,1557,8216
Davison,19956,4729,432,19504
Day,5449,1231,1030,5710
Deuel,4295,1039,639,4364
Dewey,5239,1996,2351,5301
Douglas,2835,754,435,3002
Edmunds,3986,924,1154,4071
Fall River,6973,1178,1743,7094
Faulk,2125,554,996,2364
Grant,7556,1692,681,7356
Gregory,3994,966,997,4271
Haakon,1872,428,1816,1937
Hamlin,6164,2034,511,5903
Hand,3154,684,1432,3431
Hanson,3461,1014,430,3331
Harding,1311,306,2682,1255
Hughes,17765,4370,748,17022
Hutchinson,7227,1886,815,7343
Hyde,1262,287,863,1420
Jackson,2806,1029,1872,3031
Jerauld,1663,385,527,2071
Jones,917,209,973,1006
Kingsbury,5187,1260,818,5148
Lake,11059,2178,567,11200
Lawrence,25768,4406,800,24097
Lincoln,65161,17593,576,44828
Lyman,3718,1081,1683,3755
Marshall,4306,1046,848,4656
McCook,5682,1608,575,5618
McPherson,2411,590,1147,2459
Meade,29852,6537,3465,25434
Mellette,1918,627,1306,2048
Miner,2298,553,570,2389
Minnehaha,197214,49895,813,169468
Moody,6336,1666,523,6486
Oglala Lakota,13672,3035,2100,13586
Pennington,109222,24902,2779,100948
Perkins,2835,601,2860,2982
Potter,2272,511,869,2329
Roberts,10280,3073,1108,10149
Sanborn,2330,584,570,2355
Spink,6361,1456,1505,6415
Stanley,2980,712,1414,2966
Sully,1446,310,1004,1373
Todd,9319,3951,1388,9612
Tripp,5624,1366,1620,5644
Turner,8673,2150,612,8347
Union,16811,4085,452,14399
Walworth,5315,1227,718,5438
Yankton,23310,4988,518,22438
Ziebach,2413,615,1981,2801
